_nt,Key,Title,原因代码,原始返回
a new mesoscopic parameter inverse analysis method of hydraulic concrete based on the svr hgwo intelligent algorithm,JGJ3BDPX,A New Mesoscopic Parameter Inverse Analysis Method of Hydraulic Concrete Based on the SVR-HGWO Intelligent Algorithm.,1,【原因代码】: 1
weakly supervised low dose computed tomography denoising based on generative adversarial networks,V4USF3XY,Weakly supervised low-dose computed tomography denoising based on generative adversarial networks.,1,【原因代码】: 1
three dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in patients with asymmetrical jaw deformities,TIDGASTP,Three-dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in patients with asymmetrical jaw deformities.,3,【原因代码】: 3
the 3d theory of osseointegration material topography and time as interdependent determinants of bone implant integration,UKMQES7K,"The 3D theory of osseointegration: material, topography, and time as interdependent determinants of bone-implant integration.",2,【原因代码】: 2
beyond roughness lateral surface architecture drives candida albicans virulence on denture polymers,2YPT5UT5,Beyond roughness: Lateral surface architecture drives Candida albicans virulence on denture polymers.,2,【原因代码】: 2
vt 3dcapsnet visual tempos 3d capsule network for video based facial expression recognition,J5E8FSNA,VT-3DCapsNet: Visual tempos 3D-Capsule network for video-based facial expression recognition.,1,【原因代码】: 1
a systematic approach of data collection and analysis in medical imaging research,PMW9788C,A Systematic Approach of Data Collection and Analysis in Medical Imaging Research.,2,【原因代码】: 2
accuracy of 2 direct digital scanning techniques intraoral scanning and stereophotogrammetry for complete arch implant supported fixed prostheses a prospective study,U6LD4JRL,Accuracy of 2 direct digital scanning techniques-intraoral scanning and stereophotogrammetry-for complete arch implant-supported fixed prostheses: A  prospective study.,3,【原因代码】: 3
machine learning approaches to dietary classification from dental microtexture in primates,77JP2XA7,Machine learning approaches to dietary classification from dental microtexture in primates.,1,【原因代码】: 1
a potential method for sex estimation of human skeletons using deep learning and three dimensional surface scanning,BA257B5Q,A potential method for sex estimation of human skeletons using deep learning and three-dimensional surface scanning.,1,【原因代码】: 1
using a new deep learning method for 3d cephalometry in patients with hemifacial microsomia,IWAJJ2N9,Using a New Deep Learning Method for 3D Cephalometry in Patients With Hemifacial Microsomia.,3,【原因代码】: 3
pressure based finite element analysis of setup distance in clear aligner canine retraction comparing bodily and tipping movements,IYKJ62I6,Pressure-based finite element analysis of setup distance in clear aligner canine retraction comparing bodily and tipping movements.,3,【原因代码】: 3
3d imaging reconstruction and laparoscopic robotic surgery approach to disseminated peritoneal leiomyomatosis,DLWQDWFW,3D Imaging Reconstruction and Laparoscopic Robotic Surgery Approach to Disseminated Peritoneal Leiomyomatosis.,1,【原因代码】: 1
a systematic review of research on guided access cavity preparation endodontic treatment dentin preservation perspectives,EH5DZEUW,A Systematic Review of Research on Guided Access Cavity Preparation Endodontic Treatment: Dentin Preservation Perspectives.,2,【原因代码】: 2
a dual branch deep learning framework with explainability for dental caries classification using intra oral photographs and radiographs,4VSIKKF2,A Dual-Branch Deep Learning Framework with Explainability for Dental Caries Classification Using Intra-Oral Photographs and Radiographs.,3,【原因代码】: 3
use of digital technology to fabricate a metal based maxillofacial prosthesis for mandibular defects,FTRZVVLY,Use of Digital Technology to Fabricate a Metal-Based Maxillofacial Prosthesis for Mandibular Defects.,3,【原因代码】: 3
deep q nas a new algorithm based on neural architecture search and reinforcement learning for brain tumor identification from mri,F9XXF7V7,DEEP Q-NAS: A new algorithm based on neural architecture search and reinforcement learning for brain tumor identification from MRI.,1,【原因代码】: 1
synergistic angio osteogenic effects of copper releasing 3d biocomposite scaffolds a step toward vascularized bone regeneration,UH7K4N37,Synergistic Angio-Osteogenic Effects of Copper-Releasing 3D Biocomposite Scaffolds: A Step Toward Vascularized Bone Regeneration.,1,【原因代码】: 1
perforator sparing microsurgical clipping of tandem dominant hemisphere middle cerebral artery aneurysms geometry guided reconstruction of a wide neck bifurcation and dorsal m1 fusiform lesion,PB3IDP5P,Perforator-Sparing Microsurgical Clipping of Tandem Dominant-Hemisphere Middle Cerebral Artery Aneurysms: Geometry-Guided Reconstruction of a Wide-Neck  Bifurcation and Dorsal M1 Fusiform Lesion.,1,【原因代码】: 1
a paradigm shift using scan bodies to record the position of a complete arch of implants in a digital workflow,W5XLTB8N,A Paradigm Shift Using Scan Bodies to Record the Position of a Complete Arch of Implants in a Digital Workflow.,3,【原因代码】: 3
next generation oral delivery systems phytosomal hinokitiol tablets via regemat 3d bioprinter based 3d printing for enhanced bioavailability,SPCXVCQA,Next-Generation Oral Delivery Systems: Phytosomal Hinokitiol Tablets via REGEMAT 3D Bioprinter-Based 3D Printing for Enhanced Bioavailability.,3,【原因代码】: 3
fractured full arch tooth supported zirconia bridge thin design surface damage and excessive cement layer thickness,JANGC8LD,"Fractured Full-Arch Tooth-Supported Zirconia Bridge: Thin Design, Surface Damage, and Excessive Cement Layer Thickness.",2,【原因代码】: 2
virtual tumor mapping and margin control with 3 d planning and navigation,LHESLXK6,Virtual tumor mapping and margin control with 3-D planning and navigation.,2,【原因代码】: 2
assessment of chatgpt performance in orbital mri reporting with multimetric evaluation of transformer based language models,CNFZ2T2N,Assessment of ChatGPT performance in orbital MRI reporting with multimetric evaluation of transformer based language models.,1,【原因代码】: 1
influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone,ZPHWMMKX,Influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone.,2,【原因代码】: 2
automated three dimensional analysis of facial asymmetry in patients with syndromic coronal synostosis a retrospective study,MWMICGZG,Automated three-dimensional analysis of facial asymmetry in patients with syndromic coronal synostosis: A retrospective study.,1,【原因代码】: 1
optimization of smoothing parameter for block matching and 3d filtering algorithm in low dose chest and abdominal computed tomography images,EJ9XFDS7,Optimization of smoothing parameter for block matching and 3D filtering algorithm in low-dose chest and abdominal computed tomography images.,1,【原因代码】: 1
semi automated three dimensional analysis of maxillary anomalies in patients with muenke syndrome saethre chotzen syndrome or tcf12 related craniosynostosis a retrospective study,QJG6B55I,"Semi-automated three-dimensional analysis of maxillary anomalies in patients with Muenke syndrome, Saethre-Chotzen syndrome or TCF12-related craniosynostosis: A  retrospective study.",3,【原因代码】: 3
fepse 3 nanosheets integrated cryogenic 3d printed multifunctional calcium phosphate scaffolds for synergistic therapy of osteosarcoma,CF4DWYCA,FePSe(3) -Nanosheets-Integrated Cryogenic-3D-Printed Multifunctional Calcium Phosphate Scaffolds for Synergistic Therapy of Osteosarcoma.,1,【原因代码】: 1
the design and development of a novel device that converts a patient controlled intravenous pump into an oral liquid medication dispenser for non controlled substances,5BXZT5HW,The Design and Development of a Novel Device that Converts a Patient-Controlled Intravenous Pump into an Oral Liquid Medication Dispenser for Non-Controlled  Substances.,1,【原因代码】: 1
development and evaluation of a computer vision algorithm for quantification of children s microactivities,5ULHZEJP,Development and evaluation of a computer vision algorithm for quantification of children's microactivities.,1,【原因代码】: 1
marginal gap of three dimensional printed full arch frameworks supported by all on four and all on six implant designs,S3UIDDAH,Marginal gap of three-dimensional printed full-arch frameworks supported by all-on-four and all-on-six implant designs.,3,【原因代码】: 3
