_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
deep learning based approach automated gingival inflammation grading model using gingival removal strategy,Deep learning based approach: automated gingival inflammation grading model using gingival removal strategy,SCIENTIFIC REPORTS,journalArticle,DEFPLRRS,,EXCLUDE,EXCLUDE,证据片段中仅出现 TensorFlow、LabelBox 等软件，均非具名第三方非牙科三维（3D）软件；该研究为自建深度学习模型（DenseNet、U-Net、t-SNE、Grad-CAM++），未使用任何用于3D数据处理/分析/建模/测量的第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 TensorFlow、LabelBox 等软件，均非具名第三方非牙科三维（3D）软件；该研究为自建深度学习模型（DenseNet、U-Net、t-SNE、Grad-CAM++），未使用任何用于3D数据处理/分析/建模/测量的第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
comparison of cbct radiation doses with conventional radiographs in tmj imaging using monte carlo simulations,Comparison of CBCT radiation doses with conventional radiographs in TMJ imaging using Monte Carlo simulations,RADIATION AND ENVIRONMENTAL BIOPHYSICS,journalArticle,2YP4TDQT,,EXCLUDE,EXCLUDE,该研究使用的是 PCXMC 2.0 软件进行剂量计算，PCXMC 是辐射剂量蒙特卡罗模拟专用软件，并非用于3D数据的处理、分析、建模或测量；且未使用任何具名的第三方非牙科三维（3D）软件进行3D数据处理。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究使用的是 PCXMC 2.0 软件进行剂量计算，PCXMC 是辐射剂量蒙特卡罗模拟专用软件，并非用于3D数据的处理、分析、建模或测量；且未使用任何具名的第三方非牙科三维（3D）软件进行3D数据处理。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
color three dimensional imaging based on patterned illumination using a negative pinhole array,Color three-dimensional imaging based on patterned illumination using a negative pinhole array,OPTICS EXPRESS,journalArticle,PKG7FRXM,,EXCLUDE,EXCLUDE,"缺失证据：片段中未出现任何具名第三方非牙科3D软件（如 Mimics、MATLAB 等）被本研究使用的表述；仅描述了自研的图像配准/矩阵计算算法，无 ""we used / were analysed using / imported into / processed in"" 等指向具名软件的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 缺失证据：片段中未出现任何具名第三方非牙科3D软件（如 Mimics、MATLAB 等）被本研究使用的表述；仅描述了自研的图像配准/矩阵计算算法，无 ""we used / were analysed using / imported into / processed in"" 等指向具名软件的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
deapir efficient and enhanced dental arch guided panoramic image reconstruction from cbct data,DeAPIR: Efficient and Enhanced Dental Arch-Guided Panoramic Image Reconstruction from CBCT Data,APPLIED SCIENCES-BASEL,journalArticle,KFG4F76J,,EXCLUDE,EXCLUDE,"证据片段中 OpenInventor 仅出现在性能对比（""approximately 10 times faster than OpenInventor""）和对比图（""DeAPIR vs. state-of-the-art software (a) BlueSkyPlan, (b) OpenInventor""）中，属于与已有软件的对比，而非本研究自身使用该软件进行3D数据处理；本研究提出的是自研框架（""we propose a novel framework""），未表明使用具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中 OpenInventor 仅出现在性能对比（""approximately 10 times faster than OpenInventor""）和对比图（""DeAPIR vs. state-of-the-art software (a) BlueSkyPlan, (b) OpenInventor""）中，属于与已有软件的对比，而非本研究自身使用该软件进行3D数据处理；本研究提出的是自研框架（""we propose a novel framework""），未表明使用具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
minimizing inconsistencies in gray values in small field of view dental computed tomography by modulating reconstruction filter intensity simulation study,Minimizing inconsistencies in gray values in small field-of-view dental computed tomography by modulating reconstruction filter intensity: simulation study,JOURNAL OF INSTRUMENTATION,journalArticle,AXGUCU7Q,,EXCLUDE,EXCLUDE,"证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）；仅提及 ""Our software-based approach"" 及 ""computer-aided software""，属于自研方法/自研代码，未表明本研究使用了具名第三方软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）；仅提及 ""Our software-based approach"" 及 ""computer-aided software""，属于自研方法/自研代码，未表明本研究使用了具名第三方软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
noninvasive three dimensional in situ and in vivo characterization of bioprinted hydrogel scaffolds using the x ray propagation based imaging technique,Noninvasive Three-Dimensional In Situ and In Vivo Characterization of Bioprinted Hydrogel Scaffolds Using the X-ray Propagation-Based Imaging Technique,ACS APPLIED MATERIALS & INTERFACES,journalArticle,CDF2J78D,,EXCLUDE,EXCLUDE,"该研究使用 Avizo 9.1 重建支架3D模型，但主题为生物打印水凝胶支架的成像表征（组织工程/再生医学），不属于口腔医学任一学科；缺失""主题属于口腔医学""这一证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究使用 Avizo 9.1 重建支架3D模型，但主题为生物打印水凝胶支架的成像表征（组织工程/再生医学），不属于口腔医学任一学科；缺失""主题属于口腔医学""这一证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
primary exploration of the clinical application of 3d printed complete dentures,Primary Exploration of the Clinical Application of 3D-Printed Complete Dentures,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,PV2RKASC,,EXCLUDE,EXCLUDE,证据片段中仅出现 SPSS version 22.0（统计分析软件，非3D数据处理/建模/测量软件）及牙科专用软件（3Shape Dental System、DentalScan、AccuWare、SHINING 3D Dental 等），未出现本研究自身使用具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、Blender 等）进行3D数据处理、分析、建模或测量的表述。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 SPSS version 22.0（统计分析软件，非3D数据处理/建模/测量软件）及牙科专用软件（3Shape Dental System、DentalScan、AccuWare、SHINING 3D Dental 等），未出现本研究自身使用具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、Blender 等）进行3D数据处理、分析、建模或测量的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
engineering 3d printed strontium titanium scaffold integrated highly bioactive serum exosomes for critical bone defects by osteogenesis and angiogenesis,Engineering 3D-Printed Strontium-Titanium Scaffold-Integrated Highly Bioactive Serum Exosomes for Critical Bone Defects by Osteogenesis and Angiogenesis,ACS APPLIED MATERIALS & INTERFACES,journalArticle,ZVIVQ3U8,,EXCLUDE,EXCLUDE,"证据片段中出现的软件为 Image-Pro Plus 6.0（图像分析）、Cutadapt/perl5/Bowtie/edgeR（测序数据处理），均非用于3D数据处理、分析、建模或测量的非牙科三维软件；3D打印部分使用的是 EBM S12 系统（Arcam AB）进行选择性激光熔化制造，属于增材制造设备而非具名第三方非牙科3D建模/分析软件。缺失""本研究自身使用具名第三方非牙科3D软件进行3D数据处理/分析/建模/测量""的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中出现的软件为 Image-Pro Plus 6.0（图像分析）、Cutadapt/perl5/Bowtie/edgeR（测序数据处理），均非用于3D数据处理、分析、建模或测量的非牙科三维软件；3D打印部分使用的是 EBM S12 系统（Arcam AB）进行选择性激光熔化制造，属于增材制造设备而非具名第三方非牙科3D建模/分析软件。缺失""本研究自身使用具名第三方非牙科3D软件进行3D数据处理/分析/建模/测量""的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
advantages of deep learning with convolutional neural network in detecting disc displacement of the temporomandibular joint in magnetic resonance imaging,Advantages of deep learning with convolutional neural network in detecting disc displacement of the temporomandibular joint in magnetic resonance imaging,SCIENTIFIC REPORTS,journalArticle,JURF9NTK,,EXCLUDE,EXCLUDE,证据片段仅显示使用了 IBM SPSS、R、Python 进行统计分析，未出现任何具名第三方非牙科三维（3D）软件用于3D数据处理、分析、建模或测量；该研究为自建卷积神经网络深度学习模型，无第三方3D软件使用证据。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅显示使用了 IBM SPSS、R、Python 进行统计分析，未出现任何具名第三方非牙科三维（3D）软件用于3D数据处理、分析、建模或测量；该研究为自建卷积神经网络深度学习模型，无第三方3D软件使用证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
evaluation of the methods for determining accuracy of fit and precision of rpd framework in digital 3d printed milled and conventional rpds a systematic review,"Evaluation of the methods for determining accuracy of fit and precision of RPD framework in Digital (3D printed, milled) and conventional RPDs - a systematic review",BMC ORAL HEALTH,journalArticle,6EQBH5FS,,EXCLUDE,EXCLUDE,"该文献为系统综述（题名及摘要明确为 ""a systematic review""），不符合纳入标准第3条（排除综述、系统综述）。证据片段中出现的 Geomagic、NX 等软件名均为对既往纳入研究的描述（如 ""Ye et al. [25] ... 3D digital analyses using a dedicated software (Geomagic Qualify 2012, Geomagic)""、""Chen et al. 2019 [19] ... geomagic and NX image software""），并非本研究自身在材料与方法中使用。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该文献为系统综述（题名及摘要明确为 ""a systematic review""），不符合纳入标准第3条（排除综述、系统综述）。证据片段中出现的 Geomagic、NX 等软件名均为对既往纳入研究的描述（如 ""Ye et al. [25] ... 3D digital analyses using a dedicated software (Geomagic Qualify 2012, Geomagic)""、""Chen et al. 2019 [19] ... geomagic and NX image software""），并非本研究自身在材料与方法中使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
automated classification of sagittal vertical and transverse malocclusions from 3d intraoral scans via a multi head cnn framework,"Automated classification of sagittal, vertical, and transverse malocclusions from 3D intraoral scans via a multi-head CNN framework",ODONTOLOGY,journalArticle,ASA8N7WW,,EXCLUDE,EXCLUDE,"缺失证据：方法学片段中仅描述使用自建的多头CNN深度学习模型（""A shared-backbone, multi-head architecture was designed""、""an AI-based model""），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身用于3D数据处理、分析、建模或测量的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 缺失证据：方法学片段中仅描述使用自建的多头CNN深度学习模型（""A shared-backbone, multi-head architecture was designed""、""an AI-based model""），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身用于3D数据处理、分析、建模或测量的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
