_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
custom design of a temporomandibular joint prosthesis a kinematic approach evaluated by finite element analysis,Custom design of a temporomandibular joint prosthesis: A kinematic approach evaluated by finite element analysis,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确描述该研究自身使用 Mimics 进行解剖区域勾画、Rhinoceros 进行距离测量、ANSYS 2023 R2 进行有限元分析。,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,Mimics; Rhinoceros; ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 全文明确描述该研究自身使用 Mimics 进行解剖区域勾画、Rhinoceros 进行距离测量、ANSYS 2023 R2 进行有限元分析。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; Rhinoceros; ANSYS
【研究设计】: computational"
automatic multi class classification of 3d relationships between the mandibular third molar and canal on cone beam computed tomography using a geometry aware network,Automatic multi-class classification of 3D relationships between the mandibular third molar and canal on cone-beam computed tomography using a geometry-aware network,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 3D Slicer (Version 4.10.2) 进行多平面可视化并测量 M3 与 MC 表面间 3D 距离。,Oral and Maxillofacial Radiology,3D data analysis and accuracy assessment,3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 3D Slicer (Version 4.10.2) 进行多平面可视化并测量 M3 与 MC 表面间 3D 距离。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: 3D Slicer
【研究设计】: computational"
ai driven automation of occlusal surface design in digital prosthodontics a clinically validated workflow,AI-driven automation of occlusal surface design in digital prosthodontics: a clinically validated workflow,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 3-matic 17.0 对口内扫描进行咬合面分割并用于3D偏差比较与区域误差分析。,Prosthodontics,Image segmentation and 3D reconstruction,3-Matic,computational,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 3-matic 17.0 对口内扫描进行咬合面分割并用于3D偏差比较与区域误差分析。
【专科】: Prosthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3-Matic
【研究设计】: computational"
a new method to evaluate trueness and precision of digital and conventional impression techniques for complete dental arch,A New Method to Evaluate Trueness and Precision of Digital and Conventional Impression Techniques for Complete Dental Arch,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 Geomagic Control X 几何检测软件计算数字模型各圆柱体的质心坐标。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 Geomagic Control X 几何检测软件计算数字模型各圆柱体的质心坐标。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
in vivo assessment of sed a novel biomechanical indicator for periodontal tissue remodeling in clear aligner therapy,In Vivo Assessment of SED: A Novel Biomechanical Indicator for Periodontal Tissue Remodeling in Clear Aligner Therapy,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确描述该研究自身将 micro-CT 数据导入 Mimics 20.0 进行分割与三维重建，并用 Geomagic Studio 2014 优化表面、在 ANSYS Workbench 2019 中建模分析。,Orthodontics,Biomechanical analysis and simulation,Mimics; Geomagic Studio; ANSYS Workbench,computational,"【判定】: INCLUDE
【判定理由】: 全文明确描述该研究自身将 micro-CT 数据导入 Mimics 20.0 进行分割与三维重建，并用 Geomagic Studio 2014 优化表面、在 ANSYS Workbench 2019 中建模分析。
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; Geomagic Studio; ANSYS Workbench
【研究设计】: computational"
in vivo evaluation of artificial intelligence driven remote monitoring technology for tracking tooth movement and reconstruction of 3 dimensional digital models during orthodontic treatment,In-vivo evaluation of Artificial Intelligence Driven Remote Monitoring technology for tracking tooth movement and reconstruction of 3-dimensional digital models during orthodontic treatment,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Geomagic Control-X 2020 进行虚拟模型准备和基于3D叠加的偏差分析。,Orthodontics,3D data analysis and accuracy assessment,Geomagic Control-X 2020,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Geomagic Control-X 2020 进行虚拟模型准备和基于3D叠加的偏差分析。
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control-X 2020
【研究设计】: clinical"
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,A micro-CT-integrated 3D simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,INCLUDE,摘要及全文片段表明该研究自身将分割后的空隙几何转换为STL网格并在MeshLab中进行细化，用于其CFD模拟工作流。,Endodontics,Biomechanical analysis and simulation,MeshLab,computational,"【判定】: INCLUDE
【判定理由】: 摘要及全文片段表明该研究自身将分割后的空隙几何转换为STL网格并在MeshLab中进行细化，用于其CFD模拟工作流。
【专科】: Endodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: MeshLab
【研究设计】: computational"
a comparative study of bone remodeling around hydroxyapatite coated and novel radial functionally graded dental implants using finite element simulation,A comparative study of bone remodeling around hydroxyapatite-coated and novel radial functionally graded dental implants using finite element simulation,MEDICAL ENGINEERING & PHYSICS,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明""All the computer-aided design (CAD) models in this study were created by SolidWorks 2017. The assembled geometry was inserted into ANSYS version 17.2 for the FE analysis""，表明该研究自身在方法中使用了 SolidWorks 和 ANSYS 进行建模与有限元分析。",Implantology,Biomechanical analysis and simulation,SolidWorks; ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明""All the computer-aided design (CAD) models in this study were created by SolidWorks 2017. The assembled geometry was inserted into ANSYS version 17.2 for the FE analysis""，表明该研究自身在方法中使用了 SolidWorks 和 ANSYS 进行建模与有限元分析。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: SolidWorks; ANSYS
【研究设计】: computational"
accuracy and surface roughness of co cr partial denture frameworks with different fabrication methods,Accuracy and surface roughness of Co-Cr partial denture frameworks with different fabrication methods,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Geomagic Control X 软件对扫描框架与设计STL进行叠加比对以测量精度。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Geomagic Control X 软件对扫描框架与设计STL进行叠加比对以测量精度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
effect of industrial scanner and framework material interaction on the marginal gaps of cad cam complete arch implant frameworks,Effect of industrial scanner and framework material interaction on the marginal gaps of CAD-CAM complete arch implant frameworks,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用非牙科专用3D软件 PolyWorks Modeler 和 GOM Inspect 进行扫描数据处理与边缘间隙测量。,Prosthodontics,3D data analysis and accuracy assessment,PolyWorks; GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用非牙科专用3D软件 PolyWorks Modeler 和 GOM Inspect 进行扫描数据处理与边缘间隙测量。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: PolyWorks; GOM Inspect
【研究设计】: in_vitro"
a digital workflow for pair matching of maxillary anterior teeth using a 3d segmentation technique for esthetic implant restorations,A digital workflow for pair matching of maxillary anterior teeth using a 3D segmentation technique for esthetic implant restorations,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究方法中明确使用 3D Slicer 进行 DICOM 图像分割，并使用 MeshLab 计算 Hausdorff 距离。,Implantology,Image segmentation and 3D reconstruction,3D Slicer; MeshLab,computational,"【判定】: INCLUDE
【判定理由】: 该研究方法中明确使用 3D Slicer 进行 DICOM 图像分割，并使用 MeshLab 计算 Hausdorff 距离。
【专科】: Implantology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer; MeshLab
【研究设计】: computational"
low profile electromagnetic field sensors in the measurement and modelling of three dimensional jaw kinematics and occlusal loading,Low-Profile Electromagnetic Field Sensors in the Measurement and Modelling of Three-Dimensional Jaw Kinematics and Occlusal Loading,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明使用 3-matic 13.0 重建牙颌几何并导入 Abaqus 2017 进行有限元建模与仿真，属研究自身方法使用非牙科专用3D软件。,Prosthodontics,Biomechanical analysis and simulation,3-Matic; ABAQUS,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明使用 3-matic 13.0 重建牙颌几何并导入 Abaqus 2017 进行有限元建模与仿真，属研究自身方法使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: 3-Matic; ABAQUS
【研究设计】: computational"
influence of framework material on stress fatigue and stability of all on four system components biomechanical evaluation with finite element analysis,"Influence of Framework Material on Stress, Fatigue, and Stability of “All-on-Four” System Components-Biomechanical Evaluation with Finite Element Analysis",JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自身使用 Geomagic Design X 进行模型几何重建与逆向工程建模。,Prosthodontics,Biomechanical analysis and simulation,Geomagic Design X,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身使用 Geomagic Design X 进行模型几何重建与逆向工程建模。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Geomagic Design X
【研究设计】: computational"
