_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
low profile electromagnetic field sensors in the measurement and modelling of three dimensional jaw kinematics and occlusal loading,Low-Profile Electromagnetic Field Sensors in the Measurement and Modelling of Three-Dimensional Jaw Kinematics and Occlusal Loading,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,No non-dental 3D software identified,Abaqus,E1,该原创研究属口腔医学（咬合加载/TMJ），全文明确使用非牙科专用软件 Abaqus 和 3-Matic 进行有限元建模与3D几何重建。,"【判定】: E1
【理由】: 该原创研究属口腔医学（咬合加载/TMJ），全文明确使用非牙科专用软件 Abaqus 和 3-Matic 进行有限元建模与3D几何重建。"
effect of industrial scanner and framework material interaction on the marginal gaps of cad cam complete arch implant frameworks,Effect of industrial scanner and framework material interaction on the marginal gaps of CAD-CAM complete arch implant frameworks,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,GOM inspect; PolyWorks,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D计量软件 PolyWorks 和 GOM inspect 进行扫描数据处理与边缘间隙测量。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D计量软件 PolyWorks 和 GOM inspect 进行扫描数据处理与边缘间隙测量。"
accuracy and surface roughness of co cr partial denture frameworks with different fabrication methods,Accuracy and surface roughness of Co-Cr partial denture frameworks with different fabrication methods,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control X; Geomagic control X,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D分析软件Geomagic Control X对RPD支架进行3D精度测量与配准分析。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D分析软件Geomagic Control X对RPD支架进行3D精度测量与配准分析。"
influence of framework material on stress fatigue and stability of all on four system components biomechanical evaluation with finite element analysis,"Influence of Framework Material on Stress, Fatigue, and Stability of “All-on-Four” System Components-Biomechanical Evaluation with Finite Element Analysis",JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,Geomagic Design X,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用3D软件Geomagic Design X进行模型重建与CAD建模。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用3D软件Geomagic Design X进行模型重建与CAD建模。"
deep learning driven segmentation of maxillary impacted canine on cone beam computed tomography images,Deep learning driven segmentation of maxillary impacted canine on cone beam computed tomography images,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,3-matic,E1,该研究属口腔颌面放射领域，全文明确使用非牙科专用3D软件3-matic进行STL模型表面比较分析（RMS差异计算），为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射领域，全文明确使用非牙科专用3D软件3-matic进行STL模型表面比较分析（RMS差异计算），为原创研究，符合全部纳入标准。"
computational evaluation of stress distribution in endocrown restored immature mandibular molars a finite element approach,Computational Evaluation of Stress Distribution in Endocrown-Restored Immature Mandibular Molars: A Finite Element Approach,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,Hypermesh,E1,该研究为口腔修复领域的原创有限元研究，全文明确使用非牙科专用软件 ALTAIR Hypermesh v2024 进行网格建模，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复领域的原创有限元研究，全文明确使用非牙科专用软件 ALTAIR Hypermesh v2024 进行网格建模，符合纳入标准。"
study on fracture behavior of molars based on three dimensional high precision computerized tomography scanning and numerical simulation,Study on fracture behavior of molars based on three-dimensional high-precision computerized tomography scanning and numerical simulation,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,journalArticle,No non-dental 3D software identified,Avizo,E1,该研究为牙体牙髓/口腔生物力学原创研究，全文明确使用非牙科3D软件 Avizo 进行牙齿3D重建与复合结构建模，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为牙体牙髓/口腔生物力学原创研究，全文明确使用非牙科3D软件 Avizo 进行牙齿3D重建与复合结构建模，符合全部纳入标准。"
biomimetic 3d printed gyroid scaffolds with versatile bioactive coatings for complex craniomaxillofacial bone regeneration,Biomimetic 3D-printed gyroid scaffolds with versatile bioactive coatings for complex craniomaxillofacial bone regeneration,BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,3-matic; Geomagic Freeform,E1,该原创研究在颌面骨再生中自身使用了非牙科3D软件 Geomagic Freeform Plus 进行缺损建模、3-matic 进行CAD偏差分析，符合口腔医学主题与软件使用要求。,"【判定】: E1
【理由】: 该原创研究在颌面骨再生中自身使用了非牙科3D软件 Geomagic Freeform Plus 进行缺损建模、3-matic 进行CAD偏差分析，符合口腔医学主题与软件使用要求。"
three dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,Three-dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,journalArticle,No non-dental 3D software identified,ANSYS; Geomagic Design X; Mimics; SOLIDWORKS; SolidWorks,E1,该研究为口腔种植领域的原创有限元分析，全文明确使用Mimics、Geomagic Design X、SolidWorks、ANSYS等非牙科专用3D软件进行三维重建、表面处理与有限元建模。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元分析，全文明确使用Mimics、Geomagic Design X、SolidWorks、ANSYS等非牙科专用3D软件进行三维重建、表面处理与有限元建模。"
spatiotemporal mechanical stimuli from dental crypt during tooth development an integrated experimental and computational study,Spatiotemporal mechanical stimuli from dental crypt during tooth development: An integrated experimental and computational study,EXTREME MECHANICS LETTERS,journalArticle,No non-dental 3D software identified,Abaqus; Avizo; MATLAB,E1,该研究属口腔发育/口腔生物学主题，全文明确使用非牙科专用软件 Avizo、MATLAB 和 Abaqus 进行 micro-CT 重建、网格生成与有限元分析，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔发育/口腔生物学主题，全文明确使用非牙科专用软件 Avizo、MATLAB 和 Abaqus 进行 micro-CT 重建、网格生成与有限元分析，且为原创研究，符合全部纳入标准。"
clinical evaluation of a one piece polyetheretherketone removable partial denture fabricated using a novel digital workflow a self controlled clinical trial,Clinical evaluation of a one-piece polyetheretherketone removable partial denture fabricated using a novel digital workflow: A self-controlled clinical trial,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic,E1,该研究为口腔修复学原创临床试验，全文明确使用非牙科专用逆向工程软件Geomagic Studio 2013进行RPD设计建模，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复学原创临床试验，全文明确使用非牙科专用逆向工程软件Geomagic Studio 2013进行RPD设计建模，符合全部纳入标准。"
a three dimensional printed polycaprolactone biphasic calcium phosphate scaffold combined with adipose derived stem cells cultured in xenogeneic serum free media for the treatment of bone defects,A Three-Dimensional Printed Polycaprolactone-Biphasic-Calcium-Phosphate Scaffold Combined with Adipose-Derived Stem Cells Cultured in Xenogeneic Serum-Free Media for the Treatment of Bone Defects,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究为口腔颌面骨缺损修复的原创研究，全文明确使用非牙科3D软件3D Slicer（ideaMaker）设计PCL-BCP支架结构，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔颌面骨缺损修复的原创研究，全文明确使用非牙科3D软件3D Slicer（ideaMaker）设计PCL-BCP支架结构，符合纳入标准。"
effect of platform design of dental implant abutment on loosening and fatigue performance,Effect of platform design of dental implant abutment on loosening and fatigue performance,ENGINEERING FAILURE ANALYSIS,journalArticle,No non-dental 3D software identified,Ansys; SolidWorks,E1,该研究为口腔种植领域的原创研究，全文明确使用SolidWorks建模并导入Ansys Workbench进行有限元分析，符合非牙科3D软件用于3D建模与分析的要求。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创研究，全文明确使用SolidWorks建模并导入Ansys Workbench进行有限元分析，符合非牙科3D软件用于3D建模与分析的要求。"
direct ink writing with dental composites a paradigm shift toward sustainable chair side production,Direct ink writing with dental composites: A paradigm shift toward sustainable chair-side production,DENTAL MATERIALS,journalArticle,No non-dental 3D software identified,CloudCompare,E1,"该原创研究属口腔修复学，且全文明确将 CloudCompare 用于自身3D点云偏差分析（""imported into the open-source software CloudCompare... as individual 3D point clouds""），符合纳入标准。","【判定】: E1
【理由】: 该原创研究属口腔修复学，且全文明确将 CloudCompare 用于自身3D点云偏差分析（""imported into the open-source software CloudCompare... as individual 3D point clouds""），符合纳入标准。"
tip torque rotations how accurately do digital superimposition software packages quantify tooth movement,"TIP, TORQUE & ROTATIONS: How accurately do digital superimposition software packages quantify tooth movement?",PROGRESS IN ORTHODONTICS,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic design X,E1,"该研究为口腔正畸原创研究，全文明确将非牙科3D软件Geomagic作为三种被研究的配准/测量软件之一（""Semiautomatic best fit registration software (S-BF): Geomagic""）用于3D模型配准与角度测量，符合纳入标准。","【判定】: E1
【理由】: 该研究为口腔正畸原创研究，全文明确将非牙科3D软件Geomagic作为三种被研究的配准/测量软件之一（""Semiautomatic best fit registration software (S-BF): Geomagic""）用于3D模型配准与角度测量，符合纳入标准。"
